question	answer
n g ị	n g h ị
r o s é	r o s é
h a d o	h a d o
m ã n h	m ã n h
k h ú	k h ú c
w u 4 n	q u a n
t ý p	t ý p
a p p l e	a p p l e
w e a v e r	w e a v e r
m a d e l i n e	m a d e l i n e
n m h i ệ m	n g h i ệ m
s i d a	s i d a
t ă n n	t ă n g
đ ẫ y	đ ẫ y
q y â n	q u â n
d ò h q	d ò n g
g o a n	g o l a n
đ ồ q	đ ồ n g
n h o á n y	n h o á n g
g ụ	v ụ
t i ê s p	t i ế p
n b â n	n h â n
m ì h	m ì n h
k h á 0	k h á o
d â y	đ â y
j r r u s a l e m	j e r u s a l e m
k h ở i	k h ở i
m ó n	m ó n
h o à 8 7 5	h o à 8 7 5
q ó c	g ó c
m ổ	n ổ
v ư 4	v ừ a
t g	t ư ở n g
n h á	n h á
d o a n g	d o a n h
n h ẽ	n h ẽ
k ỉ	k ỉ
k h ố	k h ố i
n q h ì n	n g h ì n
c á n h	c h á n h
t 3 ả j	t r ả i
u j n h	k i n h
t ồ i	t ồ i
b 4 j	b a i
m ỡ	m ỡ
j p b 0 n 3	i p h o n e
t ỉ g h	t ỉ n h
g i q n	g i a n
t ậ t	t h ậ t
c h a y	c h ả y
n g à n j	n g à n h
ậ t	v ậ t
b ả n	b ả o
ì n h	m ì n h
đ ă n q	đ ă n g
j ợ j	l ợ i
h ò	h ò a
t r ư ợ t	t r ư ợ t
g i ả g	g i ả m
l ô x i	l ỗ i
j n s j q h t	i n s i g h t
0 p 3 r 4 q j 0 n	o p e r a t i o n
q l 2 7	q l 2 7
r ừ n q	r ừ n g
x 4	x ư a
k ệ n	h i ệ n
t h ỏ	t h ỏ a
d ẫ j	v ẫ n
c ũ n n	c ũ n g
q r ẻ	t r ẻ
c h a n	c h ă n
x ó i	x ó i
n 0 3 s t	l o é t
e n	e m
h a n f	h a n g
n t m	n t m
t o n g a a g	t o n g a a t
k 4 s 3 r s k y	k a s p e r s k y
t j n h	t ỉ n h
d i n b	d i n h
l á c h	l á c h
p h 4 s p	p h á p
m ẫ i	m ẫ u
t h e	t h e o
t r i f	t r ì
n g m ị	n g h ị
